Name,Player_ID,FG%_RT,FT%_RT,FG3M_RT,PTS_RT,REB_RT,AST_RT,TOV_RT,Total_Rating
Jakob Poeltl,1627751,0.8300397415283804,0.17570385818561002,0.003989361702127659,0.4432746414957343,0.684449489216799,0.2404438964241677,-0.4004491017964072,50.7474928901357
Brandon Miller,1641706,0.06748936237150245,0.33576642335766427,0.8605200945626477,0.6415360722857547,0.3469542186908816,0.31328492487555376,-0.5899312486138834,50.700477133022574
Scottie Barnes,1630567,0.26759919094583434,0.3922460212995095,0.26002790373212414,0.5844147728456268,0.5498036880593961,0.5051444280487558,-0.6012565033866692,50.24777163941418
Walker Kessler,1631117,0.8004172674199835,0.07913945447560508,0.023516237402015677,0.3370561091419782,0.8719158850588447,0.14536958920111623,-0.31620968589137516,49.81728270049399
Brandon Ingram,1627742,0.3448101743705904,0.343065693430657,0.5336879432624113,0.6776789495976282,0.39727582292849034,0.44595150020550767,-0.8033932135728543,49.76267202457653
Myles Turner,1626167,0.44669588215988715,0.2913072329130724,0.4840425531914893,0.4708328520272612,0.47023011041172225,0.1360086686843777,-0.3651787334422065,49.630807344832874
Andrew Wiggins,203952,0.3279765086664567,0.36647369745784036,0.4891782831988261,0.5541778030933707,0.31809464166894985,0.2232237765211106,-0.34689242205244686,49.587019022915435
Malik Beasley,1627736,0.29998046294330016,0.1407299270072993,0.8697872340425532,0.49809402795425667,0.1935527809307605,0.15076037813399096,-0.22634730538922157,49.44138665209457
Isaiah Hartenstein,1628392,0.6617420675783426,0.16251205068172425,0.0,0.34523267243652755,0.7758122202471462,0.33385291859572386,-0.3638007004858208,49.1537991540958
Bradley Beal,203078,0.5184221703121682,0.2773722627737226,0.42819148936170215,0.5285895806861499,0.24432463110102157,0.31288532675709,-0.40169660678642716,48.96742429539829
Santi Aldama,1630583,0.46169745876690016,0.135036496350365,0.41329787234042553,0.39085133418043205,0.4683881952326901,0.24886970817920265,-0.22355289421157684,48.62095526736948
Malik Monk,1628370,0.28991711024233324,0.32116788321167894,0.4907568887338682,0.538421480200804,0.2743156993729182,0.4980695761152999,-0.5256699715323452,48.42567199510028
Mikal Bridges,1628969,0.4930507538755574,0.16875912408759128,0.4646808510638298,0.5472935196950445,0.22883087400681046,0.31648170982326346,-0.3409181636726547,48.19983701434295
Naz Reid,1629675,0.3908960989020449,0.18445452752022093,0.5102070155261644,0.4397129022287854,0.43292327514801976,0.19595427733528842,-0.2775530021039003,48.15919763028186
Amen Thompson,1641708,0.6381390790139994,0.234250421111735,0.07905073649754502,0.42975271234483436,0.5940801536715271,0.3213506592051598,-0.42561031782588665,48.015955322909086
Fred VanVleet,1627832,0.11863508846441861,0.25662696888205916,0.5957446808510638,0.43496288370226716,0.27600215066610906,0.4860795638912324,-0.30150225864061353,47.90138596542868
Chet Holmgren,1631096,0.4708650889156304,0.2871046228710462,0.28132387706855794,0.4416207821544543,0.5959137343927355,0.16303603233319633,-0.3881126635617654,47.521633977187
Daniel Gafford,1629655,0.8575804106702386,0.2327344188658057,0.0,0.3776756915257551,0.4909412381035536,0.12449018305985014,-0.24988484569322894,47.05419706705524
Keyonte George,1641718,0.13977838042952262,0.40947708507837755,0.5713289152424137,0.5084258545628763,0.2672819634915614,0.49523963534191745,-0.5634632374595072,46.91385855421814
Bobby Portis,1626171,0.3926412881900524,0.18121231355125356,0.2913968547641073,0.4183194298657533,0.5953955485367418,0.19139012491288265,-0.25514189013277794,46.58396161924766
Devin Vassell,1630170,0.30493098322361434,0.21167883211678834,0.5398936170212766,0.4970775095298603,0.2836549375709421,0.24886970817920265,-0.2724550898203593,46.54384582491553
Brook Lopez,201572,0.5246939443159447,0.20576050503057802,0.39246693502012653,0.39520587932277895,0.35851458723195384,0.15862965308094779,-0.22374170577763391,46.48942215553434
Collin Sexton,1629012,0.42324002721078635,0.42805888902635164,0.3937973314100252,0.5540886869252473,0.1975605533003713,0.3598821291981024,-0.5470415101999392,46.43954106168032
Bennedict Mathurin,1631097,0.4032025052059726,0.4466717507353743,0.3167672276913306,0.49248041874490317,0.38423094516068923,0.15974382096913706,-0.39726517115023685,46.3431862421868
Chris Paul,101108,0.3775386140015572,0.18802919708029195,0.3872340425531915,0.26551461245235075,0.25743473325766175,0.651376900945335,-0.32135728542914177,46.341628942840586
Tobias Harris,202699,0.4258241234023039,0.27927642018406856,0.27520814061054577,0.4216341638583504,0.4342397473227064,0.19264104076198646,-0.2308426625010848,46.141717675873714
Deandre Ayton,1629028,0.694784455298365,0.12408759124087591,0.03351063829787234,0.4391359593392631,0.7258229284903519,0.13810110974106043,-0.36152694610778446,46.03739119170851
Harrison Barnes,203084,0.5046019678629575,0.2388321167883212,0.3961702127659575,0.3606607369758577,0.26315550510783203,0.14500616522811344,-0.12854291417165667,45.677288338345804
Keegan Murray,1631099,0.36028055024657285,0.14233576642335768,0.45921985815602834,0.38288860652265994,0.48070374574347335,0.12107822989450609,-0.16882900864936795,45.620674514954054
Rui Hachimura,1629060,0.5142029768914457,0.1873921698739217,0.37775628626692453,0.39311539794386047,0.35754824063564133,0.11926914023091582,-0.1752857920522591,45.52625163644121
P.J. Washington,1629023,0.35583727667212917,0.271587935546068,0.35828984343637094,0.4528301886792453,0.5585847985779453,0.19705464951259802,-0.42707038752683313,45.34958409073585
N'Faly Dante,1642368,0.7504778084519006,0.18978102189781024,0.0,0.30495552731893266,0.6435868331441543,0.08631319358816276,-0.2095808383233533,45.30901696113235
Dejounte Murray,1627749,0.07976215757060931,0.3974570284906994,0.3747426218256692,0.533180309054392,0.4613525685621178,0.6348196173581003,-0.7166312536217887,45.28719059836783
Paul George,202331,0.2614630002745132,0.25387217375823395,0.523092890503373,0.4946229894319274,0.38196616926441684,0.37472557216324326,-0.541843142982328,44.856477053919406
Quentin Grimes,1629656,0.44107029093225736,0.24045881126173096,0.46595744680851064,0.4295516427663823,0.2982973893303065,0.24537607891491986,-0.37724550898203596,44.74269978260721
Shaedon Sharpe,1631101,0.324587460807215,0.2999141262344354,0.4402377972465582,0.5489199491740788,0.3133805167924151,0.22466816566330602,-0.4222437477985206,44.38336843385799
Dereck Lively II,1641726,0.7775509662348694,0.1364051094890511,0.0,0.2782719186785261,0.5609038024971623,0.22657213316892727,-0.2554266467065868,44.25025446336528
Aaron Nesmith,1630174,0.5124720257444827,0.2436833239752948,0.4067103109656301,0.35734532303782623,0.27503710818126254,0.11065794049764457,-0.18271150007676953,44.22246774405317
Tyus Jones,1626145,0.3989908685495859,0.1337226277372263,0.4646808510638298,0.31593392630241424,0.1735300794551646,0.47184545828195645,-0.24590818363273453,43.95559989297651
Kelly Oubre Jr.,1626162,0.410129539180293,0.262043795620438,0.2643617021276596,0.4604828462515883,0.43859250851305337,0.15536374845869297,-0.27944111776447106,43.92319755870187
Jared McCain,1642272,0.38456978773301825,0.2983179942875278,0.49537465309898243,0.4667145461576709,0.17411044761387753,0.22516485283868548,-0.3371517833897423,43.809445368785724
Ty Jerome,1629660,0.5214238850343735,0.26625994117006213,0.34344236265481104,0.37140852282425235,0.17824046622731968,0.28856948304102176,-0.2658861381714184,43.71598108272418
Donte DiVincenzo,1628978,0.30404696174498685,0.14285714285714285,0.6223404255319148,0.3545108005082592,0.2694381384790011,0.3236744759556104,-0.3143712574850299,43.691297435694054
